prog,vla,assets,shards,episodes,sec_per_ep,shard_min,eps_per_h_stream,wall_h,eps_per_h_wall,streams_est,first,last
g10,gr00t,focus_g10,17,816,3.0,2.4,1200,0.2,4125,3.4,09-12 07:52,09-12 08:04
g10,gr00t,visbias_g10,11,528,3.4,2.7,1056,0.15,3492,3.1,09-12 07:55,09-12 08:04
g10,internvla,focus_g10,210,10000,4.0,3.2,890,3.67,2726,3.1,09-11 22:49,09-12 02:29
g10,internvla,pairs_g10,42,2000,4.0,3.2,909,3.62,553,0.6,09-11 22:54,09-12 02:31
g10,internvla,visbias_g10,210,10000,4.3,3.4,842,3.71,2695,3.4,09-11 22:50,09-12 02:32
g10,magma,focus_g10,210,10000,4.3,3.4,838,3.81,2621,3.8,09-11 17:22,09-11 21:11
g10,magma,pairs_g10,42,2000,4.5,3.5,808,0.75,2663,3.3,09-11 21:06,09-11 21:51
g10,magma,visbias_g10,215,10000,6.3,5.0,572,4.9,2041,3.7,09-11 17:23,09-11 22:17
g10,spatialvla,focus_g10,210,10000,4.6,3.7,789,3.27,3054,3.9,09-12 02:33,09-12 05:50
g10,spatialvla,pairs_g10,42,2000,4.3,3.4,836,2.31,864,1.0,09-12 04:13,09-12 06:31
g10,spatialvla,visbias_g10,210,10000,5.0,4.0,725,4.69,2131,2.8,09-12 01:22,09-12 06:04
night,magma,q33-internvla,24,2640,13.4,24.6,269,4.93,536,2.0,08-16 00:31,08-16 05:26
night,magma,q33-magma,24,2640,6.0,11.0,598,2.22,1189,2.0,08-15 22:12,08-16 00:25
q10,magma,focus_q10,530,25440,4.5,3.6,802,27.97,910,2.3,09-10 13:19,09-11 17:17
q10,magma,visbias_q10,740,35520,6.2,5.0,576,60.1,591,1.4,09-09 04:47,09-11 16:53
