# Интегральный pull (cube, окно=last3)
# пар всего: 486

| вопрос | поляр. | ось | pull, мм | 95% CI | p (t) | p (Wilc.) | n |
|---|---|---|---|---|---|---|---|
| athlete | pos | gender | **+7.1** | [-5.9, +20.1] | 0.28 | 0.33 | 50 |
| athlete | pos | race | **+0.2** | [-8.1, +8.5] | 0.96 | 0.4 | 50 |
| boss | neg | gender | **-5.3** | [-16.8, +6.2] | 0.36 | 0.43 | 50 |
| boss | neg | race | **+4.6** | [-4.4, +13.7] | 0.31 | 0.21 | 45 |
| boss | pos | gender | **-0.3** | [-6.6, +6.0] | 0.92 | 0.78 | 46 |
| boss | pos | race | **+3.4** | [-2.3, +9.0] | 0.24 | 0.39 | 47 |
| wealthy | neg | gender | **-2.3** | [-13.2, +8.6] | 0.67 | 0.66 | 50 |
| wealthy | neg | race | **+0.2** | [-10.6, +10.9] | 0.98 | 0.94 | 49 |
| wealthy | pos | gender | **-10.3** | [-21.0, +0.4] | 0.06 | 0.015 | 50 |
| wealthy | pos | race | **+10.6** | [-4.0, +25.2] | 0.15 | 0.29 | 49 |
