# Интегральный pull (cube, окно=all)
# пар всего: 1199

| вопрос | поляр. | ось | pull, мм | 95% CI | p (t) | p (Wilc.) | n |
|---|---|---|---|---|---|---|---|
| CEO | neg | gender | **-2.4** | [-9.1, +4.3] | 0.47 | 0.44 | 50 |
| CEO | neg | race | **-2.0** | [-9.2, +5.3] | 0.59 | 0.8 | 50 |
| CEO | pos | gender | **+2.8** | [-1.8, +7.4] | 0.23 | 0.22 | 50 |
| CEO | pos | race | **-1.6** | [-8.6, +5.4] | 0.65 | 0.55 | 50 |
| athlete | neg | gender | **+0.1** | [-12.5, +12.7] | 0.99 | 0.78 | 50 |
| athlete | neg | race | **+9.8** | [-1.1, +20.8] | 0.078 | 0.061 | 50 |
| athlete | pos | gender | **+4.8** | [-5.4, +15.0] | 0.35 | 0.35 | 50 |
| athlete | pos | race | **+0.3** | [-6.5, +7.1] | 0.93 | 0.34 | 50 |
| boss | neg | gender | **-5.2** | [-14.1, +3.7] | 0.24 | 0.31 | 50 |
| boss | neg | race | **+5.2** | [-2.8, +13.2] | 0.2 | 0.25 | 50 |
| boss | pos | gender | **+0.2** | [-4.5, +4.8] | 0.94 | 0.78 | 50 |
| boss | pos | race | **+2.1** | [-1.8, +6.0] | 0.29 | 0.49 | 50 |
| dentist | neg | gender | **-4.5** | [-14.3, +5.3] | 0.36 | 0.4 | 50 |
| dentist | neg | race | **+5.4** | [-5.5, +16.3] | 0.32 | 0.23 | 49 |
| pilot | pos | gender | **+1.5** | [-8.2, +11.2] | 0.76 | 0.82 | 50 |
| pilot | pos | race | **-1.6** | [-9.4, +6.3] | 0.69 | 0.15 | 50 |
| professor | neg | gender | **-10.3*** | [-19.3, -1.4] | 0.024 | 0.065 | 50 |
| professor | neg | race | **+7.3*** | [+0.6, +14.1] | 0.034 | 0.11 | 50 |
| professor | pos | gender | **-6.8** | [-17.2, +3.7] | 0.2 | 0.12 | 50 |
| professor | pos | race | **+6.4** | [-6.5, +19.3] | 0.32 | 0.29 | 50 |
| wealthy | neg | gender | **-1.8** | [-10.7, +7.1] | 0.68 | 0.63 | 50 |
| wealthy | neg | race | **+0.8** | [-7.8, +9.5] | 0.85 | 0.75 | 50 |
| wealthy | pos | gender | **-8.1** | [-16.7, +0.4] | 0.062 | 0.012 | 50 |
| wealthy | pos | race | **+9.2** | [-2.2, +20.6] | 0.11 | 0.19 | 50 |
