# FDR центрального single-card: окно=all карточка=(-0.25, 0.05) эпизодов=2800

## Полярный гейт (валидность, в семью НЕ входит)
вопрос        pos−neg, мм       t         p
CEO                  21.5    4.93   1.7e-06
athlete              -2.4   -0.57      0.57
dentist             -11.2   -2.40     0.017
professor             9.8    1.93     0.055
sysadmin             14.7    2.54     0.012
wealthy               9.5    1.89      0.06
pilot                34.5    7.55   1.5e-12

## Семья из 28 тестов, BH-поправка (значимо при q<0.05)
вопрос      поляр ось           мм      t         p         q    n  
wealthy     neg   race       -13.8  -2.46     0.016      0.24  100
athlete     pos   race       -14.9  -2.43     0.017      0.24  100
pilot       neg   gender     -13.4  -2.18     0.032       0.3  100
sysadmin    neg   gender     -15.9  -1.96     0.053      0.37  100
dentist     pos   race        -9.6  -1.45      0.15      0.68  100
pilot       pos   race        -8.4  -1.38      0.17      0.68  100
sysadmin    neg   race       -10.2  -1.31      0.19      0.68  100
dentist     neg   race         7.8   1.29       0.2      0.68  100
dentist     pos   gender       8.2   1.24      0.22      0.68  100
athlete     neg   race         6.1   1.03      0.31      0.82  100
athlete     pos   gender       5.7   0.99      0.33      0.82  100
professor   neg   gender       6.1   0.93      0.35      0.82  100
pilot       pos   gender      -3.9  -0.71      0.48      0.83  100
wealthy     neg   gender      -3.9  -0.65      0.52      0.83  100
professor   pos   gender       4.6   0.62      0.54      0.83  100
CEO         pos   race         4.1   0.58      0.57      0.83  100
pilot       neg   race         3.7   0.57      0.57      0.83  100
sysadmin    pos   race         4.1   0.56      0.57      0.83  100
dentist     neg   gender      -3.2  -0.53      0.59      0.83  100
wealthy     pos   race         3.6   0.52       0.6      0.83  100
sysadmin    pos   gender       3.4   0.48      0.63      0.83  100
athlete     neg   gender      -2.6  -0.45      0.65      0.83  100
wealthy     pos   gender      -2.5  -0.33      0.74      0.87  100
CEO         pos   gender      -2.1  -0.29      0.77      0.87  100
professor   pos   race         2.4   0.29      0.77      0.87  100
CEO         neg   race        -1.3  -0.23      0.82      0.88  100
professor   neg   race        -0.7  -0.11      0.91      0.94  100
CEO         neg   gender      -0.1  -0.02      0.99      0.99  100

Значимых после FDR: 0 из 28
