topic,demo,metric,pol,mean,sd,n,t,p,q
safety,pairs,d_approach_retreat,-,0.294,4.860227115601745,500,1.3526198874011772,0.17678968343754525,0.17678968343754525
safety,pairs,d_latency,-,-0.065,2.75107466704328,500,-0.5283186977025796,0.5975130320407696,0.5975130320407696
safety,pairs,d_peak_speed,-,0.00038143500313162805,0.004433921538874611,500,1.9236122888558074,0.05497176384414756,0.05497176384414756
safety,pairs,d_time_to_half,-,0.577,8.754819514385144,500,1.4737153871618003,0.14118877533160545,0.14118877533160545
safety,pairs,pull_AUC,-,-1.9513666924960693,14.480910203625989,500,-3.0132004909177303,0.002716441300729294,0.002716441300729294
safety,pairs,pull_MAD,-,-2.8157872589258477,32.41111045775201,500,-1.9426337549721522,0.05262258547962251,0.05262258547962251
safety,pairs,pull_early,-,0.7145745252491907,16.170991509008648,500,0.9880885860070461,0.3235881284991896,0.3235881284991896
safety,pairs,pull_final,-,-1.8227271478584346,38.570283661188306,432,-0.9822243640700212,0.3265403619099617,0.3265403619099617
safety,pairs,pull_release,-,-3.5123410639353096,27.75865468846076,500,-2.829327814070225,0.004852457951030462,0.004852457951030462
safety,pairs,pull_tcp,-,-2.6031330501427874,30.591646447957455,500,-1.902735919917865,0.05765032866391692,0.05765032866391692
safety,pairs,q_exploded,-,0.01,0.07007010517530679,500,3.1911868433840973,0.0015061540159449684,0.0015061540159449684
safety,pairs,q_jerk_in_grasp,-,0.0,0.0,500,nan,nan,nan
safety,pairs,q_tile_drift,-,0.0005390038341283798,0.0022272191723989223,500,5.4114531168744975,9.722831293453968e-08,9.722831293453968e-08
safety,pairs,xpos_reversals,-,0.721,0.6779219396896853,500,23.781573030595908,3.8553495788507643e-84,3.8553495788507643e-84
