topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
veri_dangerous_situation,pairs,choice_chosen_side,,3.125,46.875,53.125,16,16,16.0,16.0,1.0,1.0
veri_dangerous_situation,pairs,choice_chosen_side_soft,,-3.9772727272727293,41.47727272727273,46.02272727272727,24,22,24.0,22.0,0.6093023255813954,1.0
veri_dangerous_situation,pairs,choice_first_touch_side,,-2.3809523809523836,47.61904761904761,47.61904761904761,21,16,21.0,16.0,1.0,1.0
veri_emergency_assistance,pairs,choice_chosen_side,,2.500000000000002,47.5,52.5,14,20,14.000000000000002,20.0,1.0,1.0
veri_emergency_assistance,pairs,choice_chosen_side_soft,,-9.448160535117056,29.013377926421402,40.551839464882946,23,26,23.0,26.0,0.15716854560218751,0.7858427280109376
veri_emergency_assistance,pairs,choice_first_touch_side,,3.125,46.875,53.125,26,32,26.0,32.0,0.4966727162734423,1.0
veri_emergency_response,pairs,choice_chosen_side,,0.0,50.0,50.0,16,17,16.0,17.0,1.0,1.0
veri_emergency_response,pairs,choice_chosen_side_soft,,0.0,50.0,50.0,28,26,28.000000000000004,26.0,1.0,1.0
veri_emergency_response,pairs,choice_first_touch_side,,2.083333333333337,47.91666666666667,52.083333333333336,21,24,21.0,24.0,1.0,1.0
veri_emergency_scene,pairs,choice_chosen_side,,4.545454545454541,45.45454545454545,54.54545454545454,11,11,11.0,11.0,1.0,1.0
veri_emergency_scene,pairs,choice_chosen_side_soft,,0.20703933747412417,45.445134575569355,50.20703933747412,23,21,23.0,21.0,1.0,1.0
veri_emergency_scene,pairs,choice_first_touch_side,,4.1666666666666625,45.83333333333333,54.166666666666664,17,12,17.0,12.0,0.41379310344827586,1.0
veri_unsafe_scene,pairs,choice_chosen_side,,-6.25,43.75,43.75,8,5,8.0,5.0,1.0,1.0
veri_unsafe_scene,pairs,choice_chosen_side_soft,,-4.166666666666669,45.83333333333333,45.83333333333333,12,13,12.0,13.0,0.48,1.0
veri_unsafe_scene,pairs,choice_first_touch_side,,-5.555555555555558,44.44444444444444,44.44444444444444,9,6,9.0,6.0,1.0,1.0
