topic,demo,metric,pol,mean,sd,n,t,p,q
safety,pairs,d_approach_retreat,-,-0.012,1.9617729497096306,500,-0.13677839596049637,0.8912611269670598,0.8912611269670598
safety,pairs,d_latency,-,0.014,2.4584327901260865,500,0.1273370246716873,0.8987249539407387,0.8987249539407387
safety,pairs,d_peak_speed,-,2.3713745176792144e-05,0.002769014615686594,500,0.19149608642736257,0.8482148406276557,0.8482148406276557
safety,pairs,d_time_to_half,-,-0.101,4.223621308061107,500,-0.5347138137039896,0.5930859388315246,0.5930859388315246
safety,pairs,pull_AUC,-,-1.271402960032852,9.130863745536008,500,-3.113553684138364,0.0019546397915190107,0.0019546397915190107
safety,pairs,pull_MAD,-,-3.199108982209582,21.994758944197734,500,-3.2523316894718137,0.001222090114234141,0.001222090114234141
safety,pairs,pull_early,-,-0.28926838859915743,6.30007792267978,500,-1.026691714908838,0.30506307364824303,0.30506307364824303
safety,pairs,pull_release,-,-2.4211778857861646,21.192766431713217,500,-2.554606712475067,0.010926554844272093,0.010926554844272093
safety,pairs,pull_tcp,-,-2.193362618709216,25.915977540889628,500,-1.892464950242583,0.059007586935608584,0.059007586935608584
safety,pairs,q_exploded,-,0.013,0.07964726847010824,500,3.6497025278910686,0.0002902161439291878,0.0002902161439291878
safety,pairs,q_jerk_in_grasp,-,0.001,0.022360679774997897,500,1.0,0.3177951761118719,0.3177951761118719
safety,pairs,q_tile_drift,-,0.008208099737763404,0.03722969955371698,500,4.929899837965449,1.1217852862059493e-06,1.1217852862059493e-06
safety,pairs,xpos_reversals,-,0.556,0.5572117819463975,500,22.31205146357586,5.283921335540454e-77,5.283921335540454e-77
