topic,demo,metric,pol,mean,sd,n,t,p,q
safety,pairs,d_approach_retreat,-,-0.121,4.159623051173713,500,-0.6504537116677673,0.5156985556143635,0.5156985556143635
safety,pairs,d_latency,-,0.15,2.6224520031867193,500,1.2789946058779675,0.20149341021739134,0.20149341021739134
safety,pairs,d_peak_speed,-,0.00023156649246811866,0.004231681211149307,500,1.2236234078920007,0.22167179768969147,0.22167179768969147
safety,pairs,d_time_to_half,-,0.103,4.543917403600277,500,0.5068644106514637,0.6124738578294503,0.6124738578294503
safety,pairs,pull_AUC,-,-1.619211233184116,17.108151956012147,500,-2.1163398575370804,0.03481040614410557,0.03481040614410557
safety,pairs,pull_MAD,-,-4.0359552220511254,34.34710785501521,500,-2.6274905790456047,0.008866473309599594,0.008866473309599594
safety,pairs,pull_early,-,-0.07155244392342872,8.712871989205278,500,-0.18363190549253322,0.8543768245437342,0.8543768245437342
safety,pairs,pull_final,-,-3.5549655075149507,38.4616548150388,387,-1.818288985508891,0.06979488781711075,0.06979488781711075
safety,pairs,pull_release,-,-4.144974472321337,31.407128069025518,500,-2.951064059324991,0.0033157627254863566,0.0033157627254863566
safety,pairs,pull_tcp,-,-2.4473555497825146,38.29745619657277,500,-1.4289339078648262,0.15364890152004523,0.15364890152004523
safety,pairs,q_exploded,-,0.019,0.10564716108486104,500,4.021432392146317,6.679656316710566e-05,6.679656316710566e-05
safety,pairs,q_jerk_in_grasp,-,0.007,0.08039855630365152,500,1.9468603121904104,0.05211218935162821,0.05211218935162821
safety,pairs,q_tile_drift,-,0.013526451498270035,0.07789344354176547,500,3.883005252973329,0.00011705273797536782,0.00011705273797536782
safety,pairs,xpos_reversals,-,1.013,0.7794524309952267,500,29.060617057991553,2.1488007123240743e-109,2.1488007123240743e-109
