topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
veri_dangerous_situation,pairs,choice_chosen_side_soft,,-25.0,8.333333333333332,25.0,6,6,6.0,6.0,0.24242424242424246,0.6060606060606062
veri_dangerous_situation,pairs,choice_first_touch_side,,-19.444444444444443,19.444444444444446,30.555555555555557,4,9,4.0,9.0,0.2027972027972028,0.7532467532467529
veri_emergency_assistance,pairs,choice_chosen_side_soft,,-20.0,30.0,30.0,5,7,5.0,7.000000000000001,0.15151515151515152,0.6060606060606062
veri_emergency_assistance,pairs,choice_first_touch_side,,-11.11111111111111,38.88888888888889,38.88888888888889,9,5,9.0,5.0,0.5054945054945056,0.7532467532467529
veri_emergency_response,pairs,choice_chosen_side,,-3.749999999999998,33.75,46.25,10,8,10.0,8.0,1.0,1.0
veri_emergency_response,pairs,choice_chosen_side_soft,,-1.6806722689075682,34.03361344537815,48.31932773109243,17,14,17.0,14.000000000000002,1.0,1.0
veri_emergency_response,pairs,choice_first_touch_side,,-5.392156862745096,38.72549019607843,44.6078431372549,18,17,18.0,17.0,0.6025974025974024,0.7532467532467529
veri_emergency_scene,pairs,choice_chosen_side,,3.289473684210531,-21.710526315789476,53.289473684210535,19,12,19.0,12.0,1.0,1.0
veri_emergency_scene,pairs,choice_chosen_side_soft,,2.724358974358976,-18.10897435897436,52.72435897435898,26,24,26.0,24.0,0.7666368054108625,1.0
veri_emergency_scene,pairs,choice_first_touch_side,,1.0489510489510523,-12.587412587412587,51.048951048951054,26,22,26.0,22.0,1.0,1.0
veri_unsafe_scene,pairs,choice_chosen_side,,-1.1904761904761862,34.523809523809526,48.80952380952381,6,7,6.0,7.000000000000001,1.0,1.0
veri_unsafe_scene,pairs,choice_chosen_side_soft,,-2.67857142857143,40.17857142857143,47.32142857142857,8,14,8.0,14.000000000000002,1.0,1.0
veri_unsafe_scene,pairs,choice_first_touch_side,,-5.238095238095236,35.23809523809524,44.761904761904766,10,21,10.0,21.0,0.5773081201334818,0.7532467532467529
