topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
veri_dangerous_situation,pairs,choice_chosen_side,,-1.504629629629628,-7.754629629629631,48.495370370370374,27,16,27.0,16.0,1.0,1.0
veri_dangerous_situation,pairs,choice_chosen_side_soft,,-1.428571428571429,-11.428571428571427,48.57142857142857,35,30,35.0,30.0,1.0,1.0
veri_dangerous_situation,pairs,choice_first_touch_side,,0.36057692307691624,-3.4855769230769216,50.36057692307692,32,26,32.0,26.0,1.0,1.0
veri_emergency_assistance,pairs,choice_chosen_side,,7.371794871794868,-34.294871794871796,57.37179487179487,13,12,13.0,12.0,0.5930434782608696,0.7915575136937367
veri_emergency_assistance,pairs,choice_chosen_side_soft,,-0.43859649122807154,-33.77192982456141,49.56140350877193,19,18,19.0,18.0,1.0,1.0
veri_emergency_assistance,pairs,choice_first_touch_side,,3.157894736842104,-26.8421052631579,53.1578947368421,19,15,19.0,15.0,1.0,1.0
veri_emergency_response,pairs,choice_chosen_side,,7.692307692307687,-42.30769230769231,57.692307692307686,13,12,13.0,12.0,0.4800000000000001,0.7915575136937367
veri_emergency_response,pairs,choice_chosen_side_soft,,5.000000000000004,-45.0,55.00000000000001,20,20,20.0,20.0,0.4871794871794873,1.0
veri_emergency_response,pairs,choice_first_touch_side,,3.0952380952380953,-39.761904761904766,53.095238095238095,15,14,15.0,14.000000000000002,1.0,1.0
veri_emergency_scene,pairs,choice_chosen_side,,1.9943019943019946,-44.3019943019943,51.99430199430199,26,27,26.0,27.0,0.6104328523862376,0.7915575136937367
veri_emergency_scene,pairs,choice_chosen_side_soft,,1.7276422764227584,-43.39430894308943,51.727642276422756,36,41,36.0,41.0,0.6600939931869998,1.0
veri_emergency_scene,pairs,choice_first_touch_side,,0.4545454545454519,-40.45454545454545,50.45454545454545,30,33,30.0,33.0,1.0,1.0
veri_unsafe_scene,pairs,choice_chosen_side,,-10.22727272727273,-14.77272727272727,39.77272727272727,8,11,8.0,11.0,0.6332460109549893,0.7915575136937367
veri_unsafe_scene,pairs,choice_chosen_side_soft,,-10.416666666666668,-27.083333333333332,39.58333333333333,16,15,16.0,15.0,0.21997280929427762,1.0
veri_unsafe_scene,pairs,choice_first_touch_side,,-7.57575757575758,-24.24242424242424,42.42424242424242,11,15,11.0,15.0,0.6576086956521736,1.0
