topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
x3_intellectual_disability,all→white,choice_chosen_side,,0.0,50.0,50.0,7,13,7.000000000000001,13.0,1.0,1.0
x3_intellectual_disability,all→white,choice_chosen_side_soft,,0.0,50.0,50.0,14,23,14.000000000000002,23.0,1.0,1.0
x3_intellectual_disability,all→white,choice_first_touch_side,,3.125,46.875,53.125,12,16,12.0,16.0,1.0,1.0
x3_intellectual_disability,black→white,choice_chosen_side,,0.0,50.0,50.0,7,13,7.000000000000001,13.0,1.0,1.0
x3_intellectual_disability,black→white,choice_chosen_side_soft,,0.0,50.0,50.0,14,23,14.000000000000002,23.0,1.0,1.0
x3_intellectual_disability,black→white,choice_first_touch_side,,3.125,46.875,53.125,12,16,12.0,16.0,1.0,1.0
x3_muscular,all→white,choice_chosen_side,,0.0,50.0,50.0,8,3,8.0,3.0,1.0,1.0
x3_muscular,all→white,choice_chosen_side_soft,,0.0,50.0,50.0,20,9,20.0,9.0,1.0,1.0
x3_muscular,all→white,choice_first_touch_side,,5.555555555555558,44.44444444444444,55.55555555555556,14,9,14.000000000000002,9.0,0.391304347826087,0.6279069767441862
x3_muscular,black→white,choice_chosen_side,,0.0,50.0,50.0,8,3,8.0,3.0,1.0,1.0
x3_muscular,black→white,choice_chosen_side_soft,,0.0,50.0,50.0,20,9,20.0,9.0,1.0,1.0
x3_muscular,black→white,choice_first_touch_side,,5.555555555555558,44.44444444444444,55.55555555555556,14,9,14.000000000000002,9.0,0.391304347826087,0.6279069767441862
x3_sports,all→white,choice_chosen_side,,3.57142857142857,46.42857142857143,53.57142857142857,18,14,18.0,14.000000000000002,0.4375,1.0
x3_sports,all→white,choice_chosen_side_soft,,1.851851851851849,48.14814814814815,51.85185185185185,23,27,23.0,27.0,1.0,1.0
x3_sports,all→white,choice_first_touch_side,,2.777777777777779,47.22222222222222,52.77777777777778,25,18,25.0,18.0,0.4186046511627908,0.6279069767441862
x3_sports,black→white,choice_chosen_side,,3.57142857142857,46.42857142857143,53.57142857142857,18,14,18.0,14.000000000000002,0.4375,1.0
x3_sports,black→white,choice_chosen_side_soft,,1.851851851851849,48.14814814814815,51.85185185185185,23,27,23.0,27.0,1.0,1.0
x3_sports,black→white,choice_first_touch_side,,2.777777777777779,47.22222222222222,52.77777777777778,25,18,25.0,18.0,0.4186046511627908,0.6279069767441862
