topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
x3_intellectual_disability,all→white,choice_chosen_side,,8.778625954198471,-3.0534351145038165,58.778625954198475,131,131,13.100000000000001,13.100000000000001,0.006350907726042272,0.04763180794531704
x3_intellectual_disability,all→white,choice_chosen_side_soft,,7.735373347521401,-0.36860218764679376,57.7353733475214,319,327,31.900000000000002,32.7,0.00011192818844530559,0.0008394614133397919
x3_intellectual_disability,all→white,choice_first_touch_side,,8.874207188160677,-2.0560253699788533,58.874207188160675,220,215,22.0,21.5,0.0002592395704031315,0.0038885935560469724
x3_intellectual_disability,asian→white,choice_chosen_side,,3.6974789915966366,-5.1260504201680686,53.69747899159664,35,34,14.000000000000002,13.600000000000001,0.6307175578163033,0.7277510282495807
x3_intellectual_disability,asian→white,choice_chosen_side_soft,,1.4425770308123198,-6.204481792717084,51.442577030812316,84,85,33.6,34.0,0.7574891040947155,0.7574891040947155
x3_intellectual_disability,asian→white,choice_first_touch_side,,2.9581068116405485,-11.448672849376395,52.95810681164055,53,59,21.2,23.599999999999998,0.563136714443408,0.60336076547508
x3_intellectual_disability,black→white,choice_chosen_side,,8.72865275142315,-5.787476280834913,58.72865275142315,34,31,13.600000000000001,12.4,0.21306678040113283,0.266333475501416
x3_intellectual_disability,black→white,choice_chosen_side_soft,,11.927710843373497,1.9277108433734924,61.9277108433735,83,85,33.2,34.0,0.0021561828697542027,0.00808568576157826
x3_intellectual_disability,black→white,choice_first_touch_side,,10.405844155844157,-5.048701298701297,60.40584415584416,56,55,22.400000000000002,22.0,0.036054545404961606,0.09013636351240402
x3_intellectual_disability,latino→white,choice_chosen_side,,11.969696969696964,-1.3636363636363613,61.96969696969696,33,30,13.200000000000001,12.0,0.07873697976079638,0.14582266317199638
x3_intellectual_disability,latino→white,choice_chosen_side_soft,,8.498860306089217,1.7421035493324688,58.49886030608922,83,74,33.2,29.599999999999998,0.03834538090200389,0.06390896817000648
x3_intellectual_disability,latino→white,choice_first_touch_side,,6.818181818181812,6.8181818181818175,56.81818181818181,55,44,22.0,17.599999999999998,0.2203680561661559,0.3305520842492339
x3_intellectual_disability,middle_eastern→white,choice_chosen_side,,11.590038314176244,0.4789272030651326,61.59003831417624,29,36,11.600000000000001,14.399999999999999,0.08277982351390313,0.14582266317199638
x3_intellectual_disability,middle_eastern→white,choice_chosen_side_soft,,9.350445259298068,1.5191199580932457,59.35044525929807,69,83,27.6,33.2,0.02371277079600732,0.04446144524251373
x3_intellectual_disability,middle_eastern→white,choice_first_touch_side,,13.7374686716792,2.3339598997493716,63.737468671679196,56,57,22.400000000000002,22.8,0.004679647134928064,0.02339823567464032
x3_muscular,all→white,choice_chosen_side,,5.083144368858661,-1.3794406651549462,55.08314436885866,162,147,16.2,14.7,0.08749359790319783,0.14582266317199638
x3_muscular,all→white,choice_chosen_side_soft,,5.454545454545457,-1.2121212121212088,55.45454545454545,330,330,33.0,33.0,0.006376396530681895,0.019129189592045685
x3_muscular,all→white,choice_first_touch_side,,5.228129986943275,-3.178949659074426,55.22812998694327,244,226,24.4,22.6,0.026474145627699307,0.07942243688309793
