topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
x3_intellectual_disability,all→white,choice_chosen_side,,25.983302411873833,-1.289424860853433,75.98330241187384,245,242,24.5,24.2,1.3798268293695258e-31,2.0697402440542888e-30
x3_intellectual_disability,all→white,choice_chosen_side_soft,,20.717289112512695,-0.32893959794959016,70.71728911251269,412,411,41.199999999999996,41.099999999999994,2.69423384845072e-33,4.04135077267608e-32
x3_intellectual_disability,all→white,choice_first_touch_side,,24.256187082578805,0.35681601339642155,74.2561870825788,323,318,32.300000000000004,31.8,8.108553457472349e-36,1.2162830186208523e-34
x3_intellectual_disability,asian→white,choice_chosen_side,,17.58295380611581,-0.34157449577097987,67.58295380611581,58,53,23.200000000000003,21.2,0.0002876001418160672,0.000359500177270084
x3_intellectual_disability,asian→white,choice_chosen_side_soft,,11.991318502441661,-1.166576234400435,61.99131850244166,97,95,38.800000000000004,38.0,0.000957832475842667,0.0011972905948033337
x3_intellectual_disability,asian→white,choice_first_touch_side,,14.749505603164149,0.11535926170072597,64.74950560316415,74,82,29.599999999999998,32.800000000000004,0.0003852109283458071,0.0004444741480913159
x3_intellectual_disability,black→white,choice_chosen_side,,34.42622950819671,-0.8196721311475363,84.42622950819671,61,61,24.4,24.4,8.571556308902285e-15,2.8361878886642317e-14
x3_intellectual_disability,black→white,choice_chosen_side_soft,,29.38333732726256,-1.813243869318637,79.38333732726257,107,117,42.8,46.800000000000004,2.617386370744367e-19,9.815198890291376e-19
x3_intellectual_disability,black→white,choice_first_touch_side,,32.55470136014193,-1.6558249556475446,82.55470136014192,89,76,35.6,30.4,9.764763950470374e-18,3.66178648142639e-17
x3_intellectual_disability,latino→white,choice_chosen_side,,22.12365591397849,-0.45698924731182866,72.1236559139785,60,62,24.0,24.8,1.7343607795640553e-06,2.601541169346083e-06
x3_intellectual_disability,latino→white,choice_chosen_side_soft,,16.68139420716741,3.7947962690230765,66.68139420716741,105,97,42.0,38.800000000000004,2.5745273725440533e-06,3.86179105881608e-06
x3_intellectual_disability,latino→white,choice_first_touch_side,,21.959459459459453,3.040540540540543,71.95945945945945,84,74,33.6,29.599999999999998,3.466179317361775e-08,5.1992689760426625e-08
