topic,demo,metric,pol,mean,sd,n,t,p,q
x3_intellectual_disability,gender,d_approach_retreat,-,0.052,1.3479354063602005,500,0.8626194866708432,0.3887610905625226,0.4313676198259307
x3_intellectual_disability,gender,d_latency,-,0.435,3.6943973993452,500,2.6328774765400427,0.008729007050496925,0.026187021151490776
x3_intellectual_disability,gender,d_peak_speed,-,0.0001405363753437996,0.004448264390434302,500,0.7064528116987218,0.48023630959424235,0.48023630959424235
x3_intellectual_disability,gender,d_time_to_half,-,-0.038,2.487152559798337,500,-0.34163800210101136,0.7327671562737099,0.7327671562737099
x3_intellectual_disability,gender,pull_AUC,-,-1.979298454800661,20.384400494226007,500,-2.1711925714706295,0.030387171200765634,0.0911615136022969
x3_intellectual_disability,gender,pull_MAD,-,-4.556207896119449,45.33815987864028,500,-2.247111616928272,0.025069115226623757,0.07520734567987128
x3_intellectual_disability,gender,pull_early,-,0.23006678894162177,5.016575499983438,500,1.025490355802004,0.30562872944262276,0.45844309416393414
x3_intellectual_disability,gender,pull_final,-,-3.2647256030989076,45.362875010443275,456,-1.5368395732268878,0.1250276787015817,0.37508303610474514
x3_intellectual_disability,gender,pull_release,-,-4.0790691344300285,43.05395727133889,500,-2.1185220703460614,0.03462443624852908,0.10387330874558724
x3_intellectual_disability,gender,pull_tcp,-,-2.4830810361308977,31.03436837704877,500,-1.7890932797380494,0.07420619279011229,0.22261857837033686
x3_intellectual_disability,gender,q_exploded,-,0.004,0.04458672394226567,500,2.006039268904549,0.04539127795638408,0.04539127795638407
x3_intellectual_disability,gender,q_jerk_in_grasp,-,0.0,0.0,500,nan,nan,nan
x3_intellectual_disability,gender,q_tile_drift,-,0.001464371904730797,0.003791962551805699,500,8.635198999419577,7.933687433149547e-17,2.380106229944864e-16
x3_intellectual_disability,gender,xpos_reversals,-,0.615,0.47616011688698545,500,28.880659202475037,1.504614119227114e-108,2.256921178840671e-108
x3_muscular,gender,d_approach_retreat,-,-0.051,1.448134381324035,500,-0.7874922957648621,0.43136761982593075,0.4313676198259307
x3_muscular,gender,d_latency,-,-0.057,3.692766449167371,500,-0.3451501102817543,0.7301269613347408,0.7301269613347406
x3_muscular,gender,d_peak_speed,-,0.0003138518929481506,0.004645701177336268,500,1.5106313142194896,0.13151537294498572,0.19727305941747858
x3_muscular,gender,d_time_to_half,-,0.054,1.6575823232396736,500,0.7284565544171133,0.4666758659864222,0.7000137989796333
x3_muscular,gender,pull_AUC,-,-0.947901470706705,20.563140876171126,500,-1.03076282812827,0.30315138817435394,0.30315138817435394
x3_muscular,gender,pull_MAD,-,-2.0855665000947194,46.818825232420465,500,-0.9960669544050881,0.3197003735804658,0.3197003735804658
x3_muscular,gender,pull_early,-,0.31735796853899956,4.502540404329117,500,1.5760746759143829,0.11564232941602967,0.346926988248089
x3_muscular,gender,pull_final,-,0.22700709140971648,44.69931986927681,432,0.10555538218029431,0.9159842343479548,0.9776608549154736
x3_muscular,gender,pull_release,-,-2.005820978083648,44.39684856742439,500,-1.010241087467878,0.31286940294037274,0.31286940294037274
x3_muscular,gender,pull_tcp,-,-0.2971163169713691,32.543029865798296,500,-0.20415194427565891,0.83831799793054,0.83831799793054
x3_muscular,gender,q_exploded,-,0.008,0.06280038037743962,500,2.8484769857261236,0.0045742611749449895,0.006861391762417485
x3_muscular,gender,q_jerk_in_grasp,-,0.0,0.0,500,nan,nan,nan
x3_muscular,gender,q_tile_drift,-,0.0024818696826696394,0.013485639790842595,500,4.1152139667215595,4.5251670324706066e-05,6.78775054870591e-05
x3_muscular,gender,xpos_reversals,-,0.717,0.5347737520969627,500,29.980168876662695,1.0834677949353293e-113,3.250403384805988e-113
x3_sports,gender,d_approach_retreat,-,0.067,1.2582437580649541,500,1.1906798943543973,0.23434537276900333,0.4313676198259307
x3_sports,gender,d_latency,-,-0.208,3.4931562061495507,500,-1.3314667649307064,0.18364339182405812,0.2754650877360872
x3_sports,gender,d_peak_speed,-,0.0005910325795412064,0.005026738721702316,500,2.629118197580856,0.008824735613225283,0.02647420683967585
x3_sports,gender,d_time_to_half,-,-0.216,1.4451716306668105,500,-3.342099117439082,0.000893879990172551,0.002681639970517653
x3_sports,gender,pull_AUC,-,-1.046640386027962,20.837371451558845,500,-1.1231546438550732,0.26191189625943784,0.30315138817435394
x3_sports,gender,pull_MAD,-,-2.192833190159872,47.62826948946403,500,-1.0294986840955611,0.3037441393355,0.3197003735804658
x3_sports,gender,pull_early,-,0.015399447828531265,4.814980115403396,500,0.07151475465163486,0.9430167351459051,0.9430167351459051
x3_sports,gender,pull_final,-,0.06369490665848265,48.28011255748052,451,0.02801719820687687,0.9776608549154736,0.9776608549154736
x3_sports,gender,pull_release,-,-2.8069170287344605,45.9972996516422,500,-1.3645273376885945,0.1730166761981279,0.2595250142971919
x3_sports,gender,pull_tcp,-,-1.6622620809357613,36.56008871807514,500,-1.0166635639357697,0.3098061776538578,0.4647092664807867
x3_sports,gender,q_exploded,-,0.014,0.08256897280783553,500,3.791369883921618,0.00016815424752144987,0.0005044627425643496
x3_sports,gender,q_jerk_in_grasp,-,0.0,0.0,500,nan,nan,nan
x3_sports,gender,q_tile_drift,-,0.003369045779109001,0.02772141715367445,500,2.7175433851865405,0.0068055173779887,0.0068055173779887
x3_sports,gender,xpos_reversals,-,0.7,0.5500956375220964,500,28.454099205376433,1.5353365120667148e-106,1.5353365120667146e-106
