topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
x3_intellectual_disability,all→white,choice_chosen_side,,-5.346470205337594,-4.958873306112787,44.653529794662404,131,129,13.100000000000001,12.9,0.10493950340138336,0.5246975170069168
x3_intellectual_disability,all→white,choice_chosen_side_soft,,-4.1666666666666625,-4.166666666666666,45.833333333333336,168,180,16.8,18.0,0.1323596686584669,0.3970790059754007
x3_intellectual_disability,all→white,choice_first_touch_side,,-4.0590472090687335,-3.6967283684890218,45.94095279093126,303,276,30.3,27.6,0.055069970029839634,0.4329641774097152
x3_intellectual_disability,asian→white,choice_chosen_side,,-6.586021505376344,-1.7473118279569877,43.413978494623656,36,31,14.399999999999999,12.4,0.3320178337446296,0.8300445843615741
x3_intellectual_disability,asian→white,choice_chosen_side_soft,,-3.9393939393939426,-0.6060606060606072,46.060606060606055,44,45,17.599999999999998,18.0,0.5272488417181345,0.8659164124671529
x3_intellectual_disability,asian→white,choice_first_touch_side,,-3.1325543916196628,-1.661966156325545,46.867445608380336,73,68,29.2,27.200000000000003,0.5021953069139342,0.7532929603709013
x3_intellectual_disability,black→white,choice_chosen_side,,-1.3364055299539213,-2.9493087557603688,48.66359447004608,35,31,14.000000000000002,12.4,1.0,1.0
x3_intellectual_disability,black→white,choice_chosen_side_soft,,-2.151300236406617,-1.040189125295507,47.84869976359338,47,45,18.8,18.0,0.8349054660879092,0.9633524608706645
x3_intellectual_disability,black→white,choice_first_touch_side,,-4.038577456298976,-1.6576250753465942,45.961422543701026,79,63,31.6,25.2,0.3987856493010826,0.7532929603709013
x3_intellectual_disability,latino→white,choice_chosen_side,,-2.5868725868725906,-6.8725868725868695,47.41312741312741,37,35,14.799999999999999,14.000000000000002,0.8121390124773078,0.9370834759353551
x3_intellectual_disability,latino→white,choice_chosen_side_soft,,-1.8939393939393923,-6.439393939393937,48.10606060606061,48,44,19.2,17.599999999999998,0.8336703845264792,0.9633524608706645
x3_intellectual_disability,latino→white,choice_first_touch_side,,-2.384615384615385,-4.948717948717948,47.61538461538461,75,78,30.0,31.2,0.6266245296862051,0.778273321256215
x3_intellectual_disability,middle_eastern→white,choice_chosen_side,,-13.519021739130432,-10.394021739130435,36.48097826086957,23,32,9.2,12.8,0.056515862217704785,0.5246975170069168
x3_intellectual_disability,middle_eastern→white,choice_chosen_side_soft,,-11.206896551724139,-11.206896551724139,38.793103448275865,29,46,11.600000000000001,18.4,0.09106601320782425,0.3970790059754007
x3_intellectual_disability,middle_eastern→white,choice_first_touch_side,,-6.952081696779267,-6.205813040062844,43.04791830322073,76,67,30.4,26.8,0.1278219909502632,0.479332466063487
x3_muscular,all→white,choice_chosen_side,,-5.709111704155545,-2.4304231795653832,44.290888295844454,129,122,12.9,12.2,0.07754576891906076,0.5246975170069168
x3_muscular,all→white,choice_chosen_side_soft,,-5.790255496137847,-3.5680332739156273,44.209744503862154,187,180,18.7,18.0,0.028251687407648843,0.3970790059754007
x3_muscular,all→white,choice_first_touch_side,,-4.178346423912737,0.5661791235325148,45.821653576087265,263,274,26.3,27.400000000000002,0.057728556987962025,0.4329641774097152
x3_muscular,asian→white,choice_chosen_side,,-2.9453015427770013,-5.119214586255258,47.054698457223,31,23,12.4,9.2,0.7837063825347681,0.9370834759353551
x3_muscular,asian→white,choice_chosen_side_soft,,-4.913880445795337,-2.532928064842957,45.086119554204664,47,42,18.8,16.8,0.39942825688181716,0.7725516815811804
x3_muscular,asian→white,choice_first_touch_side,,-4.643206256109483,-1.4173998044965774,45.35679374389051,66,62,26.400000000000002,24.8,0.37640739055953254,0.7532929603709013
