topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
x3_intellectual_disability,all→white,choice_chosen_side,,2.2222222222222254,42.22222222222222,52.22222222222223,18,20,18.0,20.0,1.0,1.0
x3_intellectual_disability,all→white,choice_chosen_side_soft,,3.055555555555556,41.94444444444444,53.05555555555556,20,27,20.0,27.0,0.6261037759650154,0.6887334110722416
x3_intellectual_disability,all→white,choice_first_touch_side,,5.5061179087875445,34.81646273637375,55.506117908787544,31,29,31.0,28.999999999999996,0.2922646252809684,0.4383969379214526
x3_intellectual_disability,black→white,choice_chosen_side,,2.2222222222222254,42.22222222222222,52.22222222222223,18,20,18.0,20.0,1.0,1.0
x3_intellectual_disability,black→white,choice_chosen_side_soft,,3.055555555555556,41.94444444444444,53.05555555555556,20,27,20.0,27.0,0.6261037759650154,0.6887334110722416
x3_intellectual_disability,black→white,choice_first_touch_side,,5.5061179087875445,34.81646273637375,55.506117908787544,31,29,31.0,28.999999999999996,0.2922646252809684,0.4383969379214526
x3_muscular,all→white,choice_chosen_side,,0.0,30.000000000000004,50.0,10,10,10.0,10.0,1.0,1.0
x3_muscular,all→white,choice_chosen_side_soft,,4.910714285714279,23.660714285714285,54.91071428571428,14,16,14.000000000000002,16.0,0.6887334110722416,0.6887334110722416
x3_muscular,all→white,choice_first_touch_side,,1.3636363636363669,28.636363636363637,51.36363636363637,25,22,25.0,22.0,1.0,1.0
x3_muscular,black→white,choice_chosen_side,,0.0,30.000000000000004,50.0,10,10,10.0,10.0,1.0,1.0
x3_muscular,black→white,choice_chosen_side_soft,,4.910714285714279,23.660714285714285,54.91071428571428,14,16,14.000000000000002,16.0,0.6887334110722416,0.6887334110722416
x3_muscular,black→white,choice_first_touch_side,,1.3636363636363669,28.636363636363637,51.36363636363637,25,22,25.0,22.0,1.0,1.0
x3_sports,all→white,choice_chosen_side_soft,,25.0,-25.0,75.0,6,7,6.0,7.000000000000001,0.06993006993006992,0.20979020979020976
x3_sports,all→white,choice_first_touch_side,,14.615384615384608,-4.615384615384616,64.61538461538461,15,13,15.0,13.0,0.15128438102929959,0.4383969379214526
x3_sports,black→white,choice_chosen_side_soft,,25.0,-25.0,75.0,6,7,6.0,7.000000000000001,0.06993006993006992,0.20979020979020976
x3_sports,black→white,choice_first_touch_side,,14.615384615384608,-4.615384615384616,64.61538461538461,15,13,15.0,13.0,0.15128438102929959,0.4383969379214526
