topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
x3_intellectual_disability,all→white,choice_chosen_side,,9.873188405797094,2.6268115942028993,59.873188405797094,144,138,14.399999999999999,13.8,0.0012377574149720258,0.01856636122458039
x3_intellectual_disability,all→white,choice_chosen_side_soft,,8.717948717948708,1.794871794871794,58.71794871794871,195,195,19.5,19.5,0.0008035311193027307,0.006232697153477549
x3_intellectual_disability,all→white,choice_first_touch_side,,7.6051333356332185,0.8107082485251993,57.60513333563322,303,287,30.3,28.7,0.00028239234934779344,0.004235885240216902
x3_intellectual_disability,asian→white,choice_chosen_side,,1.2698412698412653,0.15873015873015817,51.269841269841265,35,45,14.000000000000002,18.0,1.0,1.0
x3_intellectual_disability,asian→white,choice_chosen_side_soft,,2.6964560862865916,1.8489984591679498,52.69645608628659,44,59,17.599999999999998,23.599999999999998,0.6909348795772613,0.7402873709756371
x3_intellectual_disability,asian→white,choice_first_touch_side,,1.8288084464555099,-3.299396681749625,51.82880844645551,68,78,27.200000000000003,31.2,0.7399682672170678,0.8538095390966167
x3_intellectual_disability,black→white,choice_chosen_side,,14.04694167852063,3.520625889046941,64.04694167852062,37,38,14.799999999999999,15.2,0.020749485936846737,0.15562114452635054
x3_intellectual_disability,black→white,choice_chosen_side_soft,,12.215099715099708,2.5997150997151,62.21509971509971,54,52,21.6,20.8,0.019107540058154578,0.07253183532182396
x3_intellectual_disability,black→white,choice_first_touch_side,,8.415927664753964,2.077899495739871,58.415927664753966,81,71,32.4,28.4,0.05060050760595526,0.10842965915561842
x3_intellectual_disability,latino→white,choice_chosen_side,,11.216931216931215,13.068783068783071,61.216931216931215,35,27,14.000000000000002,10.8,0.10753953476758944,0.32261860430276834
x3_intellectual_disability,latino→white,choice_chosen_side_soft,,12.661498708010344,7.10594315245478,62.66149870801034,43,45,17.2,18.0,0.01934182275248639,0.07253183532182396
x3_intellectual_disability,latino→white,choice_first_touch_side,,9.186637618010174,6.245461147421932,59.186637618010174,81,68,32.4,27.200000000000003,0.03082970889090727,0.07707427222726818
x3_intellectual_disability,middle_eastern→white,choice_chosen_side,,14.092664092664098,-7.335907335907338,64.0926640926641,37,28,14.799999999999999,11.200000000000001,0.04292637804135699,0.21463189020678494
x3_intellectual_disability,middle_eastern→white,choice_chosen_side_soft,,8.90313390313391,-5.1994301994302,58.903133903133906,54,39,21.6,15.6,0.0975808026149116,0.18296400490295925
x3_intellectual_disability,middle_eastern→white,choice_first_touch_side,,10.195694716242665,-2.6614481409001964,60.19569471624266,73,70,29.2,28.000000000000004,0.01902640619916928,0.05990352632802356
x3_muscular,all→white,choice_chosen_side,,5.862068965517242,2.7586206896551726,55.86206896551724,145,145,14.499999999999998,14.499999999999998,0.059652190798561114,0.22369571549460418
x3_muscular,all→white,choice_chosen_side_soft,,8.395198778880175,0.7597307985846125,58.39519877888017,213,203,21.3,20.3,0.0008310262871303398,0.006232697153477549
x3_muscular,all→white,choice_first_touch_side,,6.096534888130445,1.5826459992415665,56.09653488813044,293,288,29.299999999999997,28.799999999999997,0.0036669878067665273,0.018334939033832636
x3_muscular,asian→white,choice_chosen_side,,5.661764705882355,-3.161764705882353,55.661764705882355,40,34,16.0,13.600000000000001,0.3594177505134223,0.5207352479893242
x3_muscular,asian→white,choice_chosen_side_soft,,5.484693877551017,-3.698979591836732,55.48469387755102,56,49,22.400000000000002,19.6,0.32767739771670934,0.3780893050577416
x3_muscular,asian→white,choice_first_touch_side,,6.25,0.694444444444442,56.25,72,72,28.799999999999997,28.799999999999997,0.1821951184355906,0.24844788877580537
x3_muscular,black→white,choice_chosen_side,,9.047619047619037,7.6190476190476195,59.04761904761904,30,35,12.0,14.000000000000002,0.2091282118866525,0.4481318826142554
x3_muscular,black→white,choice_chosen_side_soft,,9.857527916827102,1.3669618790912608,59.8575279168271,49,53,19.6,21.2,0.05098408417749418,0.10925160895177323
x3_muscular,black→white,choice_first_touch_side,,8.477576711250979,6.038552321007079,58.477576711250975,62,82,24.8,32.800000000000004,0.06246158644614812,0.11711547458652773
x3_muscular,latino→white,choice_chosen_side,,5.625000000000002,0.6249999999999978,55.625,32,40,12.8,16.0,0.4770866211047764,0.5822250968381988
x3_muscular,latino→white,choice_chosen_side_soft,,10.555555555555562,-0.5555555555555591,60.555555555555564,50,54,20.0,21.6,0.049137858442531046,0.10925160895177323
x3_muscular,latino→white,choice_first_touch_side,,6.597447544884272,-1.373566947869348,56.597447544884275,67,69,26.8,27.6,0.1696219808328231,0.24844788877580537
x3_muscular,middle_eastern→white,choice_chosen_side,,3.843669250645987,6.621447028423772,53.84366925064599,43,36,17.2,14.399999999999999,0.5045950839264389,0.5822250968381988
x3_muscular,middle_eastern→white,choice_chosen_side_soft,,7.4284666177549585,6.364636830520914,57.42846661775496,58,47,23.200000000000003,18.8,0.16544443779566312,0.24816665669349466
x3_muscular,middle_eastern→white,choice_first_touch_side,,3.871237458193977,1.5635451505016718,53.871237458193974,92,65,36.8,26.0,0.4175514097298945,0.5219392621623681
x3_sports,all→white,choice_chosen_side,,5.346385542168674,-7.153614457831326,55.346385542168676,83,80,8.3,8.0,0.205813955341931,0.4481318826142554
x3_sports,all→white,choice_chosen_side_soft,,6.565254327280456,-8.503238823404482,56.565254327280456,129,146,12.9,14.6,0.03661382039552366,0.10925160895177323
x3_sports,all→white,choice_first_touch_side,,5.983905800082267,-4.112248046071576,55.98390580008227,187,208,18.7,20.8,0.01996784210934119,0.05990352632802356
x3_sports,asian→white,choice_chosen_side,,-0.2801120448179262,2.6610644257703098,49.719887955182074,21,17,8.4,6.800000000000001,1.0,1.0
x3_sports,asian→white,choice_chosen_side_soft,,0.9195402298850519,-4.25287356321839,50.91954022988505,30,29,12.0,11.600000000000001,1.0,1.0
x3_sports,asian→white,choice_first_touch_side,,0.8799171842650111,-5.64182194616977,50.87991718426501,42,46,16.8,18.4,1.0,1.0
x3_sports,black→white,choice_chosen_side,,11.333333333333329,5.333333333333329,61.33333333333333,12,25,4.8,10.0,0.29529593155844547,0.5207352479893242
x3_sports,black→white,choice_chosen_side_soft,,10.096153846153843,-2.4038461538461564,60.09615384615385,26,40,10.4,16.0,0.13325261925930476,0.22208769876550793
x3_sports,black→white,choice_first_touch_side,,16.369047619047617,0.29761904761904656,66.36904761904762,36,56,14.399999999999999,22.400000000000002,0.002772547634923246,0.018334939033832636
x3_sports,latino→white,choice_chosen_side,,9.583333333333332,-13.749999999999998,59.583333333333336,24,15,9.6,6.0,0.3171881002248076,0.5207352479893242
x3_sports,latino→white,choice_chosen_side_soft,,7.069597069597067,-5.787545787545789,57.069597069597066,39,35,15.6,14.000000000000002,0.24938640930984773,0.31173301163730965
x3_sports,latino→white,choice_first_touch_side,,-0.5880318228986492,-3.649256312694571,49.41196817710135,59,49,23.599999999999998,19.6,1.0,1.0
x3_sports,middle_eastern→white,choice_chosen_side,,6.187290969899662,-17.7257525083612,56.187290969899664,26,23,10.4,9.2,0.3818725151921711,0.5207352479893242
x3_sports,middle_eastern→white,choice_chosen_side_soft,,7.212885154061621,-18.977591036414566,57.212885154061624,34,42,13.600000000000001,16.8,0.21333888601045975,0.290916662741536
x3_sports,middle_eastern→white,choice_first_touch_side,,8.578947368421053,-4.5789473684210495,58.578947368421055,50,57,20.0,22.8,0.08331476003742984,0.1388579333957164
