topic,demo,metric,pol,mean,sd,n,t,p,q
x3_intellectual_disability,gender,d_approach_retreat,-,0.083,4.332337625185414,500,0.4283914555817648,0.6685509937890303,0.6685509937890303
x3_intellectual_disability,gender,d_latency,-,-0.076,3.151680532725473,500,-0.5392080971576911,0.5899837666462897,0.6618502123265234
x3_intellectual_disability,gender,d_peak_speed,-,-3.386713936924934e-05,0.003759437769025465,500,-0.20143763638553774,0.8404384750682927,0.8404384750682926
x3_intellectual_disability,gender,d_time_to_half,-,0.085,7.812704506341374,500,0.24327782771409134,0.8078901536227736,0.8078901536227736
x3_intellectual_disability,gender,pull_AUC,-,-0.6808283513095176,18.43219659646508,500,-0.8259343733503529,0.4092360280583168,0.40923602805831677
x3_intellectual_disability,gender,pull_MAD,-,0.4173112384672287,39.8674471721746,500,0.2340597061450749,0.8150346244437087,0.8150346244437087
x3_intellectual_disability,gender,pull_early,-,0.6766685514594428,16.89400921347924,500,0.8956292495048414,0.37088263917545716,0.5563239587631857
x3_intellectual_disability,gender,pull_final,-,-3.0316227503359463,50.09480430772886,406,-1.2193980323234461,0.22340283675698436,0.33510425513547654
x3_intellectual_disability,gender,pull_release,-,-1.0422402685508132,39.977455429276326,500,-0.5829585861186569,0.5601845270106509,0.5601845270106509
x3_intellectual_disability,gender,pull_tcp,-,-1.8503403677605093,49.41686538416983,500,-0.8372620990140461,0.4028460653053637,0.40284606530536377
x3_intellectual_disability,gender,q_exploded,-,0.014,0.08256897280783553,500,3.791369883921618,0.00016815424752144987,0.0002522313712821748
x3_intellectual_disability,gender,q_jerk_in_grasp,-,0.0,0.0,500,nan,nan,nan
x3_intellectual_disability,gender,q_tile_drift,-,0.008171091206371784,0.026260815302925674,500,6.957558315321048,1.0924068724023767e-11,1.0924068724023767e-11
x3_intellectual_disability,gender,xpos_reversals,-,1.589,1.2355696113651622,500,28.756874429125737,5.749062701840602e-108,1.7247188105521806e-107
x3_muscular,gender,d_approach_retreat,-,-0.093,4.114572932983651,500,-0.5054092497436519,0.6134945827322631,0.6685509937890303
x3_muscular,gender,d_latency,-,-0.063,3.219045745406866,500,-0.43762125090484366,0.6618502123265234,0.6618502123265234
x3_muscular,gender,d_peak_speed,-,0.00042577895522117617,0.003969829440211976,500,2.398265974904331,0.016839140868145495,0.050517422604436486
x3_muscular,gender,d_time_to_half,-,0.391,8.678782260377668,500,1.0074023670278962,0.3142296956510112,0.8078901536227736
x3_muscular,gender,pull_AUC,-,-0.7338039683904172,11.265212003421862,500,-1.4565509774531256,0.1458692889053014,0.21880393335795212
x3_muscular,gender,pull_MAD,-,-0.819578622109257,21.32923906751774,500,-0.8592118575541803,0.390636204153471,0.5859543062302065
x3_muscular,gender,pull_early,-,0.11676784351875528,17.27533849702749,500,0.15114079283535997,0.879925734091695,0.879925734091695
x3_muscular,gender,pull_final,-,-1.4307817366572189,33.05858803378033,424,-0.8911935112322028,0.37333199267588957,0.37333199267588957
x3_muscular,gender,pull_release,-,-1.4358955201751087,21.754449373497582,500,-1.475909565245297,0.14059889280064924,0.21089833920097387
x3_muscular,gender,pull_tcp,-,-2.202668687677942,34.40597224077958,500,-1.4315296434845153,0.15290448785830313,0.2293567317874547
x3_muscular,gender,q_exploded,-,0.013,0.07964726847010824,500,3.6497025278910686,0.0002902161439291878,0.0002902161439291878
x3_muscular,gender,q_jerk_in_grasp,-,0.0,0.0,500,nan,nan,nan
x3_muscular,gender,q_tile_drift,-,0.006499333284795284,0.014659364226499067,500,9.91376625117118,2.8801108444289727e-21,8.640332533286919e-21
x3_muscular,gender,xpos_reversals,-,1.122,1.0055537163936625,500,24.9501168346592,8.51471699270361e-90,8.51471699270361e-90
x3_sports,gender,d_approach_retreat,-,-0.09,4.609054867708465,500,-0.4366320726293216,0.6625670641725466,0.6685509937890303
x3_sports,gender,d_latency,-,-0.155,3.259097794923274,500,-1.0634554662715388,0.2880898064950598,0.6618502123265234
x3_sports,gender,d_peak_speed,-,-0.00012452254816889763,0.0039634313141197145,500,-0.7025248083528082,0.48267951922148533,0.7240192788322279
x3_sports,gender,d_time_to_half,-,0.143,7.849540213485517,500,0.40735853576891784,0.6839193687422909,0.8078901536227736
x3_sports,gender,pull_AUC,-,1.3201208316726618,18.027203478611348,500,1.637458589534385,0.10216510285163803,0.21880393335795212
x3_sports,gender,pull_MAD,-,1.9488491965247525,33.56697353563636,500,1.298228235172522,0.19480861390404403,0.5844258417121321
x3_sports,gender,pull_early,-,-1.8111991979472806,18.06275424751305,500,-2.2421633334023974,0.025389306665626037,0.07616791999687811
x3_sports,gender,pull_final,-,4.5867626514092725,45.176049481595854,410,2.0558429997672913,0.04043186446205192,0.12129559338615577
x3_sports,gender,pull_release,-,3.497371156074223,35.07278540808096,500,2.2297515171769438,0.026208106262426523,0.07862431878727957
x3_sports,gender,pull_tcp,-,4.575546671636403,46.145565803920235,500,2.2171650111466885,0.02706170901085018,0.08118512703255054
x3_sports,gender,q_exploded,-,0.017,0.0907053190822878,500,4.190840846170325,3.2875242758223265e-05,9.862572827466979e-05
x3_sports,gender,q_jerk_in_grasp,-,0.0,0.0,500,nan,nan,nan
x3_sports,gender,q_tile_drift,-,0.006898256041109562,0.01734350024300677,500,8.893804144488774,1.0856025050650746e-17,1.628403757597612e-17
x3_sports,gender,xpos_reversals,-,1.384,1.1402386980703445,500,27.140966940492202,2.595031316170506e-100,3.892546974255759e-100
