topic,demo,metric,pol,bias_pp,lean_pp,p_img2_pct,n_ns,n_sw,ar_ns_pct,ar_sw_pct,p,q
x3_intellectual_disability,all→white,choice_chosen_side,,-3.125,21.875,46.875,32,28,32.0,28.000000000000004,0.7748612220765497,1.0
x3_intellectual_disability,all→white,choice_chosen_side_soft,,0.06265664160400863,23.746867167919802,50.06265664160401,42,38,42.0,38.0,1.0,1.0
x3_intellectual_disability,all→white,choice_first_touch_side,,-5.49645390070922,27.836879432624116,44.50354609929078,47,42,47.0,42.0,0.3093475932788762,0.8567870701186409
x3_intellectual_disability,black→white,choice_chosen_side,,-3.125,21.875,46.875,32,28,32.0,28.000000000000004,0.7748612220765497,1.0
x3_intellectual_disability,black→white,choice_chosen_side_soft,,0.06265664160400863,23.746867167919802,50.06265664160401,42,38,42.0,38.0,1.0,1.0
x3_intellectual_disability,black→white,choice_first_touch_side,,-5.49645390070922,27.836879432624116,44.50354609929078,47,42,47.0,42.0,0.3093475932788762,0.8567870701186409
x3_muscular,all→white,choice_chosen_side,,-1.6666666666666663,31.66666666666667,48.333333333333336,10,6,10.0,6.0,1.0,1.0
x3_muscular,all→white,choice_chosen_side_soft,,-16.042780748663098,24.86631016042781,33.9572192513369,17,11,17.0,11.0,0.09872414220240308,0.2961724266072092
x3_muscular,all→white,choice_first_touch_side,,1.8796992481203034,37.59398496240601,51.8796992481203,19,7,19.0,7.000000000000001,1.0,1.0
x3_muscular,black→white,choice_chosen_side,,-1.6666666666666663,31.66666666666667,48.333333333333336,10,6,10.0,6.0,1.0,1.0
x3_muscular,black→white,choice_chosen_side_soft,,-16.042780748663098,24.86631016042781,33.9572192513369,17,11,17.0,11.0,0.09872414220240308,0.2961724266072092
x3_muscular,black→white,choice_first_touch_side,,1.8796992481203034,37.59398496240601,51.8796992481203,19,7,19.0,7.000000000000001,1.0,1.0
x3_sports,all→white,choice_chosen_side,,6.666666666666665,3.3333333333333326,56.666666666666664,15,15,15.0,15.0,0.7152491865522348,1.0
x3_sports,all→white,choice_chosen_side_soft,,1.2845849802371578,7.806324110671939,51.284584980237156,22,23,22.0,23.0,1.0,1.0
x3_sports,all→white,choice_first_touch_side,,4.778972520907998,19.295101553166067,54.778972520908,27,31,27.0,31.0,0.5711913800790939,0.8567870701186409
x3_sports,black→white,choice_chosen_side,,6.666666666666665,3.3333333333333326,56.666666666666664,15,15,15.0,15.0,0.7152491865522348,1.0
x3_sports,black→white,choice_chosen_side_soft,,1.2845849802371578,7.806324110671939,51.284584980237156,22,23,22.0,23.0,1.0,1.0
x3_sports,black→white,choice_first_touch_side,,4.778972520907998,19.295101553166067,54.778972520908,27,31,27.0,31.0,0.5711913800790939,0.8567870701186409
